campaign_id,source_experiment_id,condition_id,shot_id,physical_replicate_id,source_role,collection_date,coffee_product,coffee_lot_id,roast_batch_id,grinder,burr_set,grind_setting,machine,basket,dose_g,nominal_temperature_program_id,nominal_flow_program_id,measurement_validity,exclusion_reason,source_id
FIT_2021_12,1,FIT-C01,FIT-E01-R1,1,SOURCE_FIT_DATA,2021-12-06,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,1.4,DE1,UNKNOWN,20,CONST-8C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,1,FIT-C01,FIT-E01-R2,2,SOURCE_FIT_DATA,2021-12-06,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,1.4,DE1,UNKNOWN,20,CONST-8C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,1,FIT-C01,FIT-E01-R3,3,SOURCE_FIT_DATA,2021-12-06,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,1.4,DE1,UNKNOWN,20,CONST-8C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,2,FIT-C02,FIT-E02-R1,1,SOURCE_FIT_DATA,2021-12-06,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,1.4,DE1,UNKNOWN,20,CONST-98C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,2,FIT-C02,FIT-E02-R2,2,SOURCE_FIT_DATA,2021-12-06,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,1.4,DE1,UNKNOWN,20,CONST-98C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,2,FIT-C02,FIT-E02-R3,3,SOURCE_FIT_DATA,2021-12-06,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,1.4,DE1,UNKNOWN,20,CONST-98C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,3,FIT-C03,FIT-E03-R1,1,SOURCE_FIT_DATA,2022-01-03,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,2,DE1,UNKNOWN,20,CONST-8C,CONST-1ML_S,VALID_WITH_DECLARED_FRACTION_EXCLUSIONS,SEE_EXCLUSION_REGISTER,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,3,FIT-C03,FIT-E03-R2,2,SOURCE_FIT_DATA,2022-01-03,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,2,DE1,UNKNOWN,20,CONST-8C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,3,FIT-C03,FIT-E03-R3,3,SOURCE_FIT_DATA,2022-01-03,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,2,DE1,UNKNOWN,20,CONST-8C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
FIT_2021_12,4,FIT-C04,FIT-E04-R1,1,SOURCE_FIT_DATA,2022-01-03,SOURCE_COMMERCIAL_PRODUCT,UNKNOWN,UNKNOWN,E65S,UNKNOWN,2,DE1,UNKNOWN,20,CONST-98C,CONST-1ML_S,VALID,,P24-MAT-FIT;P24-DOE-FIT
